source,target,value,Score,Color code
GUE-NGL,Article 13,20.31,30,#7fb38c
ALDE,Article 13,300.33,25,#7fb38c
Greens–EFA,Article 13,124.28,25,#7fb38c
EFDD,Article 13,17.18,20,#7fb38c
ENF,Article 13,8.80,10,#7fb38c
ECR,Article 13,44.01,-65,#ef6548
EPP,Article 13,62.52,-190,#990000
S&D,Article 13,156.49,-355,#990000
ALDE,Article 4,348.95,215,#1a9641
EFDD,Article 4,82.68,60,#7fb38c
Greens–EFA,Article 4,74.78,60,#7fb38c
GUE-NGL,Article 4,40.74,40,#7fb38c
ECR,Article 4,58.85,5,#7fb38c
EPP,Article 4,29.70,-60,#ef6548
ENF,Article 4,222.46,-110,#ef6548
S&D,Article 4,118.82,-240,#990000
