source,target,value,Score,Color code
ALDE,Article 4,68,215,#1a9641
EFDD,Article 4,41,60,#7fb38c
Greens–EFA,Article 4,51,60,#7fb38c
GUE-NGL,Article 4,52,40,#7fb38c
GUE-NGL,Article 13,52,30,#7fb38c
ALDE,Article 13,68,25,#7fb38c
Greens–EFA,Article 13,51,25,#7fb38c
EFDD,Article 13,41,20,#7fb38c
ENF,Article 13,40,10,#7fb38c
ECR,Article 4,72,5,#7fb38c
EPP,Article 4,214,-60,#ef6548
ECR,Article 13,72,-65,#ef6548
ENF,Article 4,40,-110,#ef6548
EPP,Article 13,214,-190,#990000
S&D,Article 4,189,-240,#990000
S&D,Article 13,189,-355,#990000
