source,target,value,Score,Color code
ALDE,Article 4,56,215,#1a9641
EFDD,Article 4,8,60,#7fb38c
Greens–EFA,Article 4,9,60,#7fb38c
GUE-NGL,Article 4,5,40,#7fb38c
GUE-NGL,Article 13,3,30,#7fb38c
ALDE,Article 13,58,25,#7fb38c
Greens–EFA,Article 13,18,25,#7fb38c
EFDD,Article 13,2,20,#7fb38c
ENF,Article 13,1,10,#7fb38c
ECR,Article 4,10,5,#7fb38c
EPP,Article 4,15,-60,#ef6548
ECR,Article 13,9,-65,#ef6548
ENF,Article 4,21,-110,#ef6548
EPP,Article 13,38,-190,#990000
S&D,Article 4,53,-240,#990000
S&D,Article 13,84,-355,#990000
