name	percentage-online	id
Staatsliedenbuurt	0.7	14
Greenland	0.676	GRL
Afghanistan	0.068	AFG
Albania	0.628	ALB
Algeria	0.197	DZA
Andorra	0.965	198
Angola	0.23	AGO
Argentina	0.692	ARG
Armenia	0.499	ARM
Australia	0.851	AUS
Austria	0.811	AUT
Azerbaijan	0.611	AZE
Bahamas	0.848	BHS
Bahrain	0.915	163
Bangladesh	0.132	BGD
Barbados	0.803	180
Belarus	0.61	BLR
Belgium	0.885	BEL
Belize	0.45	BLZ
Benin	0.056	BEN
Bhutan	0.369	BTN
Bolivia	0.411	BOL
Bosnia and Herzegovina	0.616	BIH
Botswana	0.214	BWA
Brazil	0.664	BRA
Brunei	0.723	BRN
Bulgaria	0.585	BGR
Burkina Faso	0.102	BFA
Burundi	0.015	BDI
Cambodia	0.111	KHM
Cameroon	0.18	CMR
Canada	0.885	CAN
Central African Republic	0.045	CAF
Chad	0.027	TCD
Chile	0.778	CHL
China	0.522	CHN
Colombia	0.569	COL
Comoros	0.073	160
Congo, Democratic Republic of the	0.039	COD
Congo, Republic of the	0.075	COG
Costa Rica	0.564	CRI
Côte d’Ivoire	0.22	CIV
Croatia	0.742	HRV
Cuba	0.324	CUB
Cyprus	0.718	CYP
Czech Republic	0.884	CZE
Denmark	0.963	DNK
Djibouti	0.117	DJI
Dominica	0.661	DOM
Dominican Republic	0.518	DOM
Ecuador	0.431	ECU
Egypt	0.33	EGY
El Salvador	0.383	SLV
Eritrea	0.011	ERI
Estonia	0.914	EST
Ethiopia	0.042	ETH
Fiji	0.468	FJI
Finland	0.925	FIN
France	0.864	FRA
Gabon	0.103	GAB
Gambia	0.169	GMB
Georgia	0.529	GEO
Germany	0.88	DEU
Ghana	0.284	GHA
Greece	0.648	GRC
Grenada	0.388	190
Guatemala	0.265	GTM
Guinea	0.018	GIN
Guyana	0.396	GUY
Haiti	0.121	HTI
Honduras	0.215	HND
Hong Kong	0.741	HKG
Hungary	0.802	HUN
Iceland	1	ISL
India	0.348	IND
Indonesia	0.204	IDN
Iran	0.489	IRN
Iraq	0.13	IRQ
Ireland	0.81	IRL
Israel	0.725	ISR
Italy	0.656	ITA
Jamaica	0.434	JAM
Japan	0.911	JPN
Jordan	0.457	JOR
Kazakhstan	0.558	KAZ
Kenya	0.45	KEN
Kiribati	0.129	194
Kuwait	0.799	KWT
Kyrgyzstan	0.344	KGZ
Laos	0.157	LAO
Latvia	0.763	LVA
Lebanon	0.759	LBN
Lesotho	0.206	LSO
Liberia	0.086	LBR
Libya	0.211	LBY
Liechtenstein	0.958	210
Lithuania	0.772	LTU
Luxembourg	0.952	LUX
Macao	0.726	168
Macedonia	0.692	MKD
Madagascar	0.043	MDG
Malawi	0.065	MWI
Malaysia	0.686	MYS
Mali	0.122	MLI
Malta	0.796	173
Mauritania	0.171	MRT
Mauritius	0.425	153
Mexico	0.451	MEX
Micronesia	0.312	191
Moldova	0.479	MDA
Monaco	0.93	212
Mongolia	0.356	MNG
Montenegro	0.62	MNE
Morocco	0.576	MAR
Mozambique	0.064	MOZ
Myanmar	0.025	MMR
Namibia	0.156	NAM
Nepal	0.172	NPL
Netherlands	0.937	NLD
New Zealand	0.894	NZL
Nicaragua	0.194	NIC
Niger	0.021	NER
Nigeria	0.461	NGA
Norway	0.98	NOR
Oman	0.711	OMN
Pakistan	0.178	PAK
Panama	0.452	PAN
Papua New Guinea	0.117	PNG
Paraguay	0.468	PRY
Peru	0.41	PER
Philippines	0.435	PHL
Poland	0.724	POL
Portugal	0.673	PRT
Qatar	0.92	QAT
Romania	0.58	ROU
Russia	0.713	RUS
Rwanda	0.124	RWA
Samoa	0.29	185
Saudi Arabia	0.647	SAU
Senegal	0.234	SEN
Serbia	0.54	SRB
Seychelles	0.579	196
Sierra Leone	0.024	SLE
Singapore	0.825	SGP
Slovakia	0.825	SVK
Slovenia	0.72	SVN
Solomon Islands	0.098	SLB
Somalia	0.017	SOM
South Africa	0.52	ZAF
South Korea	0.857	KOR
South Sudan	0.171	SDS
Spain	0.822	ESP
Sri Lanka	0.293	LKA
Sudan	0.264	SDN
Suriname	0.423	SUR
Swaziland	0.278	SWZ
Sweden	0.931	SWE
Switzerland	0.872	CHE
Syria	0.296	SYR
Tajikistan	0.187	TJK
Tanzania	0.053	TZA
Thailand	0.427	THA
Timor-Leste	0.012	TLS
Togo	0.073	TGO
Tonga	0.466	188
Tunisia	0.481	TUN
Turkey	0.58	TUR
Turkmenistan	0.145	TKM
Uganda	0.19	UGA
Ukraine	0.441	UKR
United Arab Emirates	0.919	ARE
United Kingdom	0.926	GBR
United States	0.885	USA
Uruguay	0.65	URY
Uzbekistan	0.51	UZB
Vanuatu	0.306	VUT
Venezuela	0.579	VEN
Vietnam	0.52	VNM
Yemen	0.247	YEM
Zambia	0.19	ZMB
Zimbabwe	0.21	ZWE
