6. What kind of mobile phones do you use?,A few times a day,More than 10 times a day,Once a day,Once a week,Once every few days
Itel,0.5753424657534246,0.4034090909090909,0.4583333333333333,1.0,1.0
Tecno,0.2876712328767123,0.4147727272727273,0.3333333333333333,,
Vodafone,0.0273972602739726,0.05113636363636364,0.020833333333333332,,
Nokia,0.0273972602739726,0.028409090909090908,0.0625,,
Samsung,0.0136986301369863,0.045454545454545456,0.020833333333333332,,
Other,0.0136986301369863,0.022727272727272728,0.041666666666666664,,
Huawei,0.0136986301369863,0.017045454545454544,0.020833333333333332,,
Halotel,0.0136986301369863,0.011363636363636364,,,
Lumitel,0.0136986301369863,0.005681818181818182,0.020833333333333332,,
Motorola,0.0136986301369863,,0.020833333333333332,,
