6. What kind of mobile phones do you use?,Female,Male
Itel,0.5225225225225225,0.42328042328042326
Tecno,0.35135135135135137,0.37566137566137564
Vodafone,0.009009009009009009,0.0582010582010582
Nokia,0.036036036036036036,0.031746031746031744
Samsung,0.009009009009009009,0.047619047619047616
Other,0.018018018018018018,0.026455026455026454
Huawei,0.018018018018018018,0.015873015873015872
Halotel,0.009009009009009009,0.010582010582010581
Lumitel,0.009009009009009009,0.010582010582010581
Motorola,0.018018018018018018,
