7. What do you use the phone for?,Burundi,Congo
I make calls,0.19448094612352168,0.16864608076009502
I send text messages,0.18396846254927726,0.17577197149643706
I receive text messages,0.1747700394218134,0.17339667458432304
I listen to music,0.12220762155059132,0.14251781472684086
I use Facebook,0.09986859395532194,0.09619952494061758
I use WhatsApp,0.06176084099868594,0.07957244655581948
I use the internet,0.04467805519053877,0.060570071258907364
I use Google,0.035479632063074903,0.032066508313539195
I play games,0.03942181340341656,0.02494061757719715
I listen to the radio,0.02759526938239159,0.0332541567695962
Messenger,0.011826544021024968,0.0059382422802850355
Imo,0.003942181340341655,0.004750593824228029
Usagiri,,0.0011876484560570072
Viber,,0.0011876484560570072
