7. What do you use the phone for?,Percentage
I make calls,0.18091079226450404
I send text messages,0.17966313162819714
I receive text messages,0.17404865876481598
I listen to music,0.13287585776668745
I use Facebook,0.09794135995009358
I use WhatsApp,0.07111665626949469
I use the internet,0.053025577043044295
I use Google,0.03368683718028696
I play games,0.031815346225826574
I listen to the radio,0.03056768558951965
Messenger,0.008733624454148471
Imo,0.004366812227074236
Usagiri,0.0006238303181534623
Viber,0.0006238303181534623
