Which activities were your favorite?,Female,Male
Belly breathing,0.23809523809523808,0.24528301886792453
Simon says,0.19047619047619047,0.16981132075471697
Did not do activities,0.19047619047619047,0.07547169811320754
Did not receive messages,0.09523809523809523,0.11320754716981132
Zip zop zap,0.14285714285714285,0.09433962264150944
Team work,,0.11320754716981132
Unclear,,0.07547169811320754
 Start/stop,0.047619047619047616,0.018867924528301886
 Zip zap zop,0.047619047619047616,0.018867924528301886
10 questions game,0.047619047619047616,
Motivating children,,0.018867924528301886
Shake everything off,,0.018867924528301886
Singing,,0.018867924528301886
Start/stop,,0.018867924528301886
