source,target,value,Score,Color code
CULT/AM383,CULT/CAM/EDU,2,10,#a6d96a
CULT/AM386,CULT/CAM/EDU,2,10,#a6d96a
CULT/AM392,CULT/CAM/EDU,2,10,#1a9641
IMCO/AM35,IMCO/CAM/19,2,10,#1a9641
IMCO/AM344,IMCO/CAM/19,2,10,#a6d96a
IMCO/AM348,IMCO/CAM/19,2,10,#a6d96a
IMCO/AM373,IMCO/CAM/19,2,10,#a6d96a
IMCO/AM39,IMCO/CAM/19,2,10,#ef6548
CULT/AM518,CULT/CAM/13,2,10,#990000
CULT/AM520,CULT/CAM/13,2,10,#990000
CULT/AM527,CULT/CAM/13,2,10,#a6d96a
CULT/AM528,CULT/CAM/13,2,10,#a6d96a
CULT/AM530,CULT/CAM/13,2,10,#a6d96a
CULT/AM532,CULT/CAM/13,2,10,#990000
IMCO/AM450,IMCO/CAM/13,2,10,#1a9641
IMCO/AM451,IMCO/CAM/13,2,10,#1a9641
IMCO/AM453,IMCO/CAM/13,2,10,#1a9641
IMCO/AM455,IMCO/CAM/13,2,10,#1a9641
IMCO/AM459,IMCO/CAM/13,2,10,#1a9641
IMCO/AM499,IMCO/CAM/13,2,10,#1a9641
IMCO/AM476,IMCO/CAM/13,2,10,#990000
IMCO/AM477,IMCO/CAM/13,2,10,#990000
IMCO/AM489,IMCO/CAM/13,2,10,#990000
IMCO/AM506,IMCO/CAM/13,2,10,#990000
IMCO/AM513,IMCO/CAM/13,2,10,#990000
IMCO/AM464,IMCO/CAM/13,2,10,#a6d96a
IMCO/AM465,IMCO/CAM/13,2,10,#a6d96a
IMCO/AM488,IMCO/CAM/13,2,10,#a6d96a
IMCO/AM500,IMCO/CAM/13,2,10,#a6d96a
IMCO/AM493,IMCO/CAM/13,2,10,#ef6548
IMCO/AM503,IMCO/CAM/13,2,10,#ef6548
CULT/CAM/13,Article 13,30,10,#1a9641
IMCO/CAM/13,Article 13,30,10,#1a9641
CULT/CAM/EDU,Article 4,30,10,#1a9641
IMCO/CAM/19,Article 4,30,10,#1a9641
CULT/AM377,Superseded,2,10,#1a9641
IMCO/AM343,Superseded,2,10,#1a9641
IMCO/AM349,Superseded,2,10,#1a9641
IMCO/AM354,Superseded,2,10,#1a9641
IMCO/AM362,Superseded,2,10,#1a9641
CULT/AM514,Superseded,2,10,#990000
CULT/AM525,Superseded,2,10,#990000
CULT/AM538,Superseded,2,10,#990000
CULT/AM539,Superseded,2,10,#990000
CULT/AM372,Superseded,2,10,#990000
CULT/AM378,Superseded,2,10,#990000
CULT/AM380,Superseded,2,10,#990000
CULT/AM402,Superseded,2,10,#990000
CULT/AM403,Superseded,2,10,#990000
IMCO/AM346,Superseded,2,10,#990000
IMCO/AM347,Superseded,2,10,#990000
IMCO/AM355,Superseded,2,10,#990000
IMCO/AM372,Superseded,2,10,#990000
IMCO/AM374,Superseded,2,10,#990000
CULT/AM524,Superseded,2,10,#a6d96a
