7. What do you use the phone for?,"< TZS 1,000",TZS 0,"TZS 1,000 - 5,000","TZS 5,000 >"
I make calls,0.23498233215547704,,0.1555806087936866,0.13138686131386862
I send text messages,0.22614840989399293,0.3333333333333333,0.15783540022547915,0.13138686131386862
I receive text messages,0.2137809187279152,0.3333333333333333,0.1555806087936866,0.13138686131386862
I listen to music,0.1501766784452297,,0.12514092446448705,0.11678832116788321
I use Facebook,0.06537102473498234,0.3333333333333333,0.11724915445321307,0.10218978102189781
I use WhatsApp,0.019434628975265017,,0.0992108229988726,0.10218978102189781
I use the internet,0.030035335689045935,,0.06426155580608793,0.072992700729927
I use Google,0.014134275618374558,,0.040586245772266064,0.06569343065693431
I play games,0.02120141342756184,,0.03720405862457723,0.0364963503649635
I listen to the radio,0.024734982332155476,,0.02705749718151071,0.072992700729927
Messenger,,,0.012401352874859075,0.021897810218978103
Imo,,,0.006764374295377677,0.0072992700729927005
Usagiri,,,,0.0072992700729927005
Viber,,,0.0011273957158962795,
